Step,Overall_Compliance,Incentive_Budget_Remaining,Enforcement_Budget_Set,Education_Budget_Set,P_Catch_Set,Edu_Boost_Set,Poblacion Bacolod_Compliance,Liangan East_Compliance,Esperanza_Compliance,Binuni_Compliance,Demologan_Compliance,Mati_Compliance,Babalaya_Compliance
93,0.133,0.0,0,0,0.0,0.0,0.11290322580645161,0.16083916083916083,0.2,0.1732283464566929,0.07317073170731707,0.0,0.0
94,0.149,0.0,0,0,0.0,0.0,0.15668202764976957,0.15384615384615385,0.23333333333333334,0.10236220472440945,0.0975609756097561,0.0,0.0
95,0.15,0.0,0,0,0.0,0.0,0.16129032258064516,0.20279720279720279,0.15555555555555556,0.14173228346456693,0.12195121951219512,0.0,0.0
96,0.155,0.0,0,0,0.0,0.0,0.16589861751152074,0.1888111888111888,0.17222222222222222,0.1732283464566929,0.07317073170731707,0.0,0.0
97,0.16,0.0,0,0,0.0,0.0,0.14516129032258066,0.24475524475524477,0.2222222222222222,0.13385826771653545,0.12195121951219512,0.0,0.0
98,0.148,0.0,0,0,0.0,0.0,0.1382488479262673,0.2097902097902098,0.19444444444444445,0.15748031496062992,0.024390243902439025,0.05263157894736842,0.0
99,0.131,0.0,0,0,0.0,0.0,0.12442396313364056,0.18181818181818182,0.17222222222222222,0.13385826771653545,0.04878048780487805,0.0,0.02702702702702703
100,0.151,0.0,0,0,0.0,0.0,0.17050691244239632,0.11888111888111888,0.15555555555555556,0.2047244094488189,0.14634146341463414,0.0,0.0
101,0.158,0.0,0,0,0.0,0.0,0.14516129032258066,0.23076923076923078,0.2111111111111111,0.15748031496062992,0.04878048780487805,0.02631578947368421,0.02702702702702703
102,0.137,0.0,0,0,0.0,0.0,0.12903225806451613,0.13986013986013987,0.2,0.1732283464566929,0.07317073170731707,0.0,0.0
103,0.155,0.0,0,0,0.0,0.0,0.14746543778801843,0.1888111888111888,0.23333333333333334,0.16535433070866143,0.024390243902439025,0.0,0.0
104,0.146,0.0,0,0,0.0,0.0,0.10829493087557604,0.2097902097902098,0.2111111111111111,0.2125984251968504,0.0975609756097561,0.0,0.0
105,0.143,0.0,0,0,0.0,0.0,0.12903225806451613,0.1888111888111888,0.17222222222222222,0.1889763779527559,0.12195121951219512,0.0,0.0
106,0.162,0.0,0,0,0.0,0.0,0.14516129032258066,0.24475524475524477,0.2,0.1732283464566929,0.12195121951219512,0.0,0.02702702702702703
107,0.146,0.0,0,0,0.0,0.0,0.1359447004608295,0.1958041958041958,0.2222222222222222,0.11023622047244094,0.0975609756097561,0.02631578947368421,0.0
108,0.13,0.0,0,0,0.0,0.0,0.12672811059907835,0.16083916083916083,0.18333333333333332,0.14173228346456693,0.024390243902439025,0.0,0.0
109,0.129,0.0,0,0,0.0,0.0,0.11290322580645161,0.16783216783216784,0.17777777777777778,0.15748031496062992,0.07317073170731707,0.0,0.02702702702702703
110,0.147,0.0,0,0,0.0,0.0,0.14285714285714285,0.17482517482517482,0.2111111111111111,0.14960629921259844,0.07317073170731707,0.0,0.0
111,0.142,0.0,0,0,0.0,0.0,0.1313364055299539,0.16083916083916083,0.20555555555555555,0.12598425196850394,0.14634146341463414,0.02631578947368421,0.05405405405405406
112,0.16,0.0,0,0,0.0,0.0,0.1497695852534562,0.1888111888111888,0.23333333333333334,0.1732283464566929,0.0975609756097561,0.0,0.0
113,0.133,0.0,0,0,0.0,0.0,0.1359447004608295,0.13286713286713286,0.16666666666666666,0.14960629921259844,0.0975609756097561,0.05263157894736842,0.0
114,0.141,0.0,0,0,0.0,0.0,0.12442396313364056,0.16083916083916083,0.21666666666666667,0.18110236220472442,0.024390243902439025,0.0,0.02702702702702703
115,0.138,0.0,0,0,0.0,0.0,0.12211981566820276,0.16783216783216784,0.18888888888888888,0.18110236220472442,0.0975609756097561,0.0,0.0
116,0.144,0.0,0,0,0.0,0.0,0.11981566820276497,0.17482517482517482,0.23333333333333334,0.15748031496062992,0.12195121951219512,0.0,0.0
117,0.134,0.0,0,0,0.0,0.0,0.12211981566820276,0.1958041958041958,0.19444444444444445,0.10236220472440945,0.0975609756097561,0.0,0.02702702702702703
118,0.148,0.0,0,0,0.0,0.0,0.1313364055299539,0.15384615384615385,0.2722222222222222,0.13385826771653545,0.07317073170731707,0.0,0.0
119,0.152,0.0,0,0,0.0,0.0,0.14285714285714285,0.23076923076923078,0.2111111111111111,0.11811023622047244,0.07317073170731707,0.0,0.02702702702702703
120,0.153,0.0,0,0,0.0,0.0,0.1313364055299539,0.2097902097902098,0.19444444444444445,0.16535433070866143,0.1951219512195122,0.02631578947368421,0.02702702702702703
121,0.163,0.0,0,0,0.0,0.0,0.14285714285714285,0.20279720279720279,0.26666666666666666,0.14960629921259844,0.12195121951219512,0.0,0.0
122,0.143,0.0,0,0,0.0,0.0,0.1336405529953917,0.20279720279720279,0.20555555555555555,0.11023622047244094,0.12195121951219512,0.0,0.0
123,0.151,0.0,0,0,0.0,0.0,0.14285714285714285,0.23076923076923078,0.18888888888888888,0.11811023622047244,0.17073170731707318,0.0,0.0
124,0.148,0.0,0,0,0.0,0.0,0.14055299539170507,0.1958041958041958,0.15,0.18110236220472442,0.17073170731707318,0.0,0.05405405405405406
125,0.141,0.0,0,0,0.0,0.0,0.12211981566820276,0.22377622377622378,0.19444444444444445,0.14960629921259844,0.04878048780487805,0.0,0.0
126,0.164,0.0,0,0,0.0,0.0,0.14746543778801843,0.13986013986013987,0.25,0.2283464566929134,0.14634146341463414,0.0,0.0
127,0.144,0.0,0,0,0.0,0.0,0.12903225806451613,0.14685314685314685,0.23333333333333334,0.15748031496062992,0.0975609756097561,0.02631578947368421,0.0
128,0.135,0.0,0,0,0.0,0.0,0.12672811059907835,0.13286713286713286,0.2111111111111111,0.13385826771653545,0.07317073170731707,0.02631578947368421,0.05405405405405406
129,0.141,0.0,0,0,0.0,0.0,0.1175115207373272,0.15384615384615385,0.22777777777777777,0.15748031496062992,0.12195121951219512,0.0,0.05405405405405406
130,0.14,0.0,0,0,0.0,0.0,0.1313364055299539,0.18181818181818182,0.19444444444444445,0.13385826771653545,0.0975609756097561,0.0,0.02702702702702703
131,0.158,0.0,0,0,0.0,0.0,0.17972350230414746,0.16083916083916083,0.18333333333333332,0.14173228346456693,0.12195121951219512,0.0,0.02702702702702703
132,0.144,0.0,0,0,0.0,0.0,0.12903225806451613,0.16783216783216784,0.2111111111111111,0.18110236220472442,0.07317073170731707,0.0,0.0
133,0.142,0.0,0,0,0.0,0.0,0.12672811059907835,0.13286713286713286,0.2388888888888889,0.16535433070866143,0.0975609756097561,0.0,0.0
134,0.127,0.0,0,0,0.0,0.0,0.11059907834101383,0.18181818181818182,0.18888888888888888,0.14960629921259844,0.0,0.0,0.0
135,0.145,0.0,0,0,0.0,0.0,0.14285714285714285,0.1958041958041958,0.16111111111111112,0.13385826771653545,0.12195121951219512,0.05263157894736842,0.05405405405405406
136,0.159,0.0,0,0,0.0,0.0,0.15668202764976957,0.1958041958041958,0.21666666666666667,0.14173228346456693,0.12195121951219512,0.0,0.02702702702702703
137,0.133,0.0,0,0,0.0,0.0,0.12442396313364056,0.16783216783216784,0.18888888888888888,0.11023622047244094,0.14634146341463414,0.02631578947368421,0.0
138,0.131,0.0,0,0,0.0,0.0,0.1313364055299539,0.11888111888111888,0.2111111111111111,0.14173228346456693,0.024390243902439025,0.0,0.0
139,0.144,0.0,0,0,0.0,0.0,0.1313364055299539,0.13286713286713286,0.2111111111111111,0.1889763779527559,0.14634146341463414,0.0,0.0
140,0.145,0.0,0,0,0.0,0.0,0.1359447004608295,0.18181818181818182,0.18888888888888888,0.16535433070866143,0.12195121951219512,0.0,0.0
141,0.173,0.0,0,0,0.0,0.0,0.16589861751152074,0.27972027972027974,0.2,0.18110236220472442,0.024390243902439025,0.02631578947368421,0.0
142,0.16,0.0,0,0,0.0,0.0,0.14516129032258066,0.26573426573426573,0.22777777777777777,0.11811023622047244,0.07317073170731707,0.0,0.0
